番号,施設名,所在地,利用可能日時（施設により、下記に掲載している日時でも年末年始など休館日や、利用可能時間に変更がある場合があります）
115,光明第四保育園,東京都八王子市横川町603,月曜日から土曜日（祝休日を除く）
116,横川保育園,東京都八王子市横川町108,月曜日から金曜日（祝休日を除く）
117,城山保育園,東京都八王子市元八王子町2-2025-2,月曜日から土曜日（祝休日を除く）
118,清川交通遊園,東京都八王子市清川町43-1,全日
119,からまつ保育園,東京都八王子市川口町1543,月曜日から土曜日（祝休日を除く）
120,光明第三保育園,東京都八王子市楢原町971,月曜日から土曜日（祝休日を除く）
121,親子つどいの広場楢原,東京都八王子市楢原町539-3,月曜日から土曜日（祝休日を除く）
122,コピオ楢原店,東京都八王子市楢原町1818-15,全日（臨時休業日あり）
123,共励第二保育園 子育て広場エレファントプレイス,東京都八王子市川口町2630-3,月曜日から金曜日（祝休日を除く）
124,なかの幼稚園,東京都八王子市中野上町5-32-13,月曜日から金曜日（幼稚園開園日に限る）
125,市立恩方保育園,東京都八王子市下恩方1314,月曜日から土曜日（祝休日を除く）
