NO,名称,名称_カナ,住所,方書,緯度,経度,標高,電話番号,内線番号,市区町村コード,都道府県名,市区町村名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,備考
192,萩間区公民館,,萩間４２８－６,,34.8661409,138.0188046,,,,,静岡県,掛川市,1,0,,0,0,,,,,,,,
193,居尻公民館,,居尻５６８,,34.8786386,138.0182901,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
194,ならここの湯,,居尻１７９,,34.8756986,138.0162405,,,,,静岡県,掛川市,1,1,,0,0,,,,,,,,
195,元茶工場,,黒俣５２５－２,,34.8915212,138.0388128,,,,,静岡県,掛川市,1,0,,1,0,,,,,,,,
196,寺島公民館,,寺島８４２,,34.8273686,137.9581096,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
197,桑地公会堂,,原里７８,,34.8269783,137.9634417,,,,,静岡県,掛川市,0,1,,1,0,,,,,,,,
198,原田高架下公園,,寺島１３３０付近,,34.8319952,137.9628918,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
199,正道集会所,,原里２２８９の一部,,34.8409827,137.9778089,,,,,静岡県,掛川市,1,1,,1,0,,,,,,,,
200,正道公民館,,原里２１９７,,34.8391498,137.9773008,,,,,静岡県,掛川市,1,1,,1,0,,,,,,,,
201,高山区公会堂,,原里１２７５－１,,34.8387046,137.9661094,,,,,静岡県,掛川市,0,1,,1,0,,,,,,,,
202,平島公民館,,平島８５１－１,,34.8437575,137.9873745,,,,,静岡県,掛川市,1,1,,1,0,,,,,,,,
203,久居島公会堂,,久居島４２２,,34.8551532,137.9719267,,,,,静岡県,掛川市,1,0,,1,0,,,,,,,,
204,中西之谷老人憩の家,,中西之谷６２５,,34.8620991,137.980607,,,,,静岡県,掛川市,0,1,,1,0,,,,,,,,
205,西之谷公民館,,上西之谷８０－１,,34.8656739,137.9843563,,,,,静岡県,掛川市,1,1,,1,0,,,,,,,,
206,本郷西区公会堂,,本郷１４４７－１,,34.8125915,137.9548227,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
207,本郷東公会堂,,本郷２１２－１,,34.8036983,137.9571624,,,,,静岡県,掛川市,1,0,,1,0,,,,,,,,
208,本郷南区公会堂,,本郷６７２－１,,34.8049572,137.9537975,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
209,細谷区公民館,,細谷９２４,,34.792306,137.9637707,,,,,静岡県,掛川市,0,1,,1,0,,,,,,,,
210,幡鎌公会堂,,幡鎌３０６－１,,34.814397,137.950456,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
211,西山公会堂（西山）,,西山３３６－２,,34.8061999,137.9470395,,,,,静岡県,掛川市,1,0,,1,0,,,,,,,,
212,家代南公会堂,,家代１２２－２,,34.7909126,137.9802686,,,,,静岡県,掛川市,0,1,,1,0,,,,,,,,
213,大輝建設２階,,家代６５－１,,34.788925,137.9831323,,,,,静岡県,掛川市,1,0,,0,0,,,,,,,,
214,小林工業２階,,家代２１９５－１,,34.7887765,137.978872,,,,,静岡県,掛川市,1,0,,0,0,,,,,,,,
215,平野鋳造,,遊家３３６－１５,,34.8094157,137.9765495,,,,,静岡県,掛川市,1,0,,1,0,,,,,,,,
216,堀式商店遊家工場,,遊家７８０,,34.8080821,137.9709706,,,,,静岡県,掛川市,1,1,,1,0,,,,,,,,
217,宇洞公会堂,,家代１４３６－１,,34.7948088,137.9735354,,,,,静岡県,掛川市,1,1,,1,0,,,,,,,,
218,宮中公民館,,下垂木１－１,,34.7990734,137.9879726,,,,,静岡県,掛川市,1,1,,1,0,,,,,,,,
219,小山平公会堂,,下垂木２８９０－３,,34.7806681,137.985282,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
220,下垂木南区公会堂,,下垂木１０９７－２,,34.7854674,137.9861726,,,,,静岡県,掛川市,0,1,,1,0,,,,,,,,
221,桜木地域生涯学習センター桜木ホール,,下垂木１２７０－２,,34.7885601,137.9862219,,,,,静岡県,掛川市,0,1,,1,0,,,,,,,,
222,下垂木北公園,,下垂木８００－３６他,,34.7903698,137.9885908,,,,,静岡県,掛川市,0,1,,1,0,,,,,,,,
223,鰯原公会堂,,下垂木４７８－３,,34.7943876,137.9925253,,,,,静岡県,掛川市,0,1,,0,0,,,,,,,,
224,鰯原ゲートボール場,,下垂木４６４,,34.7922546,137.9928166,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
225,飛鳥公会堂,,下垂木３８２２－１,,34.7904593,137.9975583,,,,,静岡県,掛川市,1,0,,1,0,,,,,,,,
226,飛鳥公園,,下垂木３５０３－３９,,34.7880218,137.9948184,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
227,新田公会堂,,下垂木２９５２－２,,34.7829666,137.988314,,,,,静岡県,掛川市,0,1,,1,0,,,,,,,,
228,十二所神社広場,,下垂木２９０７,,34.7807498,137.9869756,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
229,下垂木二区公会堂,,下垂木１８２１－３１,,34.784074,137.980878,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
230,下垂木三区公民館,,下垂木２１９２,,34.7804962,137.979902,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
231,富部区公会堂,,富部９６１－３,,34.7812717,137.9720488,,,,,静岡県,掛川市,1,1,,1,0,,,,,,,,
232,森平公会堂,,富部７９５－８,,34.7840316,137.9765104,,,,,静岡県,掛川市,1,1,,1,0,,,,,,,,
233,吉岡公民館,,吉岡９４７－１,,34.7912099,137.9536278,,,,,静岡県,掛川市,0,1,,0,0,,,,,,,,
234,大満寺跡地,,吉岡９８２,,34.7927485,137.9541139,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
235,大塚古墳公園,,高田１２９８－１,,34.7975542,137.9469197,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
236,農協和田岡支所広場,,吉岡６９６－３,,34.7834427,137.9547777,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
237,高田公会堂,,高田６８－４,,34.7859927,137.9499467,,,,,静岡県,掛川市,1,0,,1,0,,,,,,,,
238,瀬戸山組公会堂,,吉岡１６３３－６,,34.7912808,137.9432847,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
239,各和公民館,,各和２１３－１,,34.7731983,137.9597044,,,,,静岡県,掛川市,0,1,,1,0,,,,,,,,
240,つくし野区公会堂,,細谷７３６－３９、２０８５－２５,,34.7836024,137.9673026,,,,,静岡県,掛川市,0,1,,1,0,,,,,,,,
241,つくし野公園,,細谷７３６－３８,,34.7834876,137.9669066,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
242,市営住宅吉岡団地集会所,,吉岡２１５－１,,34.7830813,137.962269,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
243,細田公会堂,,細田１８,,34.7695633,137.9824338,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
244,勤労者福祉会館２階,,大池２７９８－１１,,34.7721725,137.9881116,,,,,静岡県,掛川市,1,0,,0,0,,,,,,,,
245,岡津公会堂,,岡津４４８－１,,34.7709408,137.9696494,,,,,静岡県,掛川市,1,0,,1,0,,,,,,,,
246,原川公会堂,,原川７１－７,,34.7636198,137.9634909,,,,,静岡県,掛川市,1,0,,1,0,,,,,,,,
247,徳泉六所神社社務所,,徳泉９,,34.7578546,137.9595414,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
248,新家東組集会所,,領家字黒田１３６７－２,,34.7767241,137.9738572,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
249,綱川公会堂,,領家９４０－２,,34.7684807,137.9752389,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
250,領家二区公会堂,,領家３７０－１,,34.762701,137.9744439,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
251,領家三区公会堂,,領家８４２－６,,34.762043,137.98154,,,,,静岡県,掛川市,1,1,,1,0,,,,,,,,
252,高御所公会堂,,高御所２５１,,34.7640012,137.9867352,,,,,静岡県,掛川市,1,1,,1,0,,,,,,,,
253,篠場公会堂,,篠場５２９,,34.7556404,137.9778708,,,,,静岡県,掛川市,1,1,,1,0,,,,,,,,
254,平野区公会堂,,平野２３１,,34.7536319,137.9771509,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
255,梅橋公会堂,,梅橋１４３,,34.7543926,137.9654331,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
256,千浜東ｺﾐｭﾆﾃｨ防災ｾﾝﾀｰ２階,,千浜６３８５－１,,34.6560511,138.0786642,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
257,鳴海屋旅館３階,,千浜６２７６　,,34.6579035,138.080077,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
258,若杉組事務所３階,,千浜６１４１,,34.6584971,138.0790025,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
259,いのち山,,千浜６０２１,,34.6597347,138.0779555,,,,,静岡県,掛川市,0,0,,1,1,,,,,,,,
260,キャタラー坂里駐車場,,坂里５２６－２,,34.6638296,138.0814827,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
261,千浜西ｺﾐｭﾆﾃｨ防災ｾﾝﾀｰ,,千浜４５３１－３,,34.6617302,138.0755819,,,,,静岡県,掛川市,1,0,,1,1,,,,,,,,
262,千浜西公民館,,千浜４５３１－１,,34.6617466,138.0754127,,,,,静岡県,掛川市,1,0,,1,0,,,,,,,,
263,市営住宅千浜西団地Ｂ棟,,千浜４９１５,,34.6596633,138.0699757,,,,,静岡県,掛川市,0,0,,0,1,,,,,,,,
264,成行八幡宮裏山,,千浜４５３１,,34.6616781,138.0759666,,,,,静岡県,掛川市,0,0,,0,1,,,,,,,,
265,お地蔵様（高義神社）,,千浜５０２９－１,,34.6610591,138.0725614,,,,,静岡県,掛川市,0,0,,0,1,,,,,,,,
266,国浜ｺﾐｭﾆﾃｨ防災ｾﾝﾀｰ,,国安７４１,,34.665581,138.0681572,,,,,静岡県,掛川市,1,0,,1,1,,,,,,,,
267,大東支所,,三俣６２０,,34.6654903,138.0548911,,,,,静岡県,掛川市,1,0,,1,1,,,,,,,,
268,睦浜ｺﾐｭﾆﾃｨ防災ｾﾝﾀｰ,,浜川新田４２０,,34.6633101,138.0531284,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
269,浜野ｺﾐｭﾆﾃｨ防災ｾﾝﾀｰ,,浜野８７１,,34.6648317,138.0381228,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
270,惣兵衛山避難地,,,,34.6713341,138.0397174,,,,,静岡県,掛川市,0,0,,0,1,,,,,,,,
271,太田坂避難地,,,,34.6718843,138.0387423,,,,,静岡県,掛川市,0,0,,0,1,,,,,,,,
272,かぐら山(いのち山),,,,34.660398,138.0319124,,,,,静岡県,掛川市,0,0,,0,1,,,,,,,,
273,好（ハオ）駐車場,,大坂２１７０－３,,34.6697612,138.0298853,,,,,静岡県,掛川市,0,0,,0,1,,,,,,,,
274,かとうペットショップ前,,大坂２０５８－４,,34.671186,138.0337049,,,,,静岡県,掛川市,0,0,,0,1,,,,,,,,
275,大坂コミュニティ防災センター,,大坂１４２８－６,,34.6691448,138.0401432,,,,,静岡県,掛川市,0,1,,1,0,,,,,,,,
276,老人福祉センター山王荘広場,,大坂２４４３　,,34.6718165,138.0353487,,,,,静岡県,掛川市,0,0,,0,1,,,,,,,,
277,三井コミュニティ防災センター,,大坂５１０３－１,,34.6812685,138.0426633,,,,,静岡県,掛川市,1,1,,1,1,,,,,,,,
278,太田集会所,,大坂２９６６,,34.6745548,138.0399861,,,,,静岡県,掛川市,1,1,,1,1,,,,,,,,
279,寺部公会堂,,大坂３７８３－２,,34.681801,138.0355707,,,,,静岡県,掛川市,1,1,,0,1,,,,,,,,
280,東大坂研修センター,,大坂６７３７－１,,34.6773592,138.0518883,,,,,静岡県,掛川市,1,0,,1,0,,,,,,,,
281,下中公会堂,,下土方１３５２,,34.6999167,138.0473517,,,,,静岡県,掛川市,0,1,,1,0,,,,,,,,
282,畑ヶ谷集会所,,下土方３５８４－１,,34.6904973,138.0422448,,,,,静岡県,掛川市,1,1,,1,0,,,,,,,,
283,介護付有料老人ホームアグリ大東結,,川久保１１３６－１,,34.6859082,138.0533223,,,,,静岡県,掛川市,1,1,,1,0,,,,,,,,
284,嶺向公会堂,,上土方嶺向４９８－１,,34.7040104,138.0407846,,,,,静岡県,掛川市,1,1,,1,0,,,,,,,,
285,下北公会堂,,下土方１５２－１,,34.7037458,138.0458285,,,,,静岡県,掛川市,0,1,,1,0,,,,,,,,
286,大坪台集会所,,大坪台８２,,34.711204,138.039619,,,,,静岡県,掛川市,1,1,,1,0,,,,,,,,
287,上土方ｺﾐｭﾆﾃｨｾﾝﾀｰ,,入山瀬３２５,,34.7197655,138.027305,,,,,静岡県,掛川市,1,1,,1,0,,,,,,,,
288,上土方南公会堂,,上土方３１５－１,,34.7124867,138.0349659,,,,,静岡県,掛川市,1,1,,1,0,,,,,,,,
289,今滝公会堂,,今滝２６４－１,,34.7090207,138.0270794,,,,,静岡県,掛川市,1,1,,1,0,,,,,,,,
290,小貫公会堂,,小貫３８４－１,,34.7160885,138.047812,,,,,静岡県,掛川市,1,1,,1,0,,,,,,,,
291,佐束公民館,,中方５７３－１,,34.7157313,138.056058,,,,,静岡県,掛川市,1,1,,1,0,,,,,,,,
292,高瀬農業構造改善ｾﾝﾀｰ,,高瀬１５０１－２,,34.7253031,138.047446,,,,,静岡県,掛川市,1,1,,1,0,,,,,,,,
293,高瀬ガーデンヒル集会場,,高瀬２１３０外,,34.7218466,138.0519816,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
294,岩滑公会堂,,岩滑１３６７,,34.7026263,138.0668108,,,,,静岡県,掛川市,0,1,,1,0,,,,,,,,
295,中方農業構造改善ｾﾝﾀｰ,,中方３５４－１,,34.7115737,138.0584532,,,,,静岡県,掛川市,0,1,,1,0,,,,,,,,
296,西之谷集会所,,西之谷７２５,,34.6967066,138.0641958,,,,,静岡県,掛川市,1,0,,1,0,,,,,,,,
297,毛森集会所,,中４５７６－１,,34.6937789,138.0547758,,,,,静岡県,掛川市,0,1,,1,0,,,,,,,,
298,睦三会館,,中５９８９－１,,34.697708,138.0581279,,,,,静岡県,掛川市,1,1,,1,0,,,,,,,,
299,中地区ｺﾐｭﾆﾃｨ防災ｾﾝﾀｰ,,中３８９１－１,,34.684593,138.0602862,,,,,静岡県,掛川市,0,1,,0,0,,,,,,,,
300,公文公会堂,,中２９８０,,34.6844383,138.0621172,,,,,静岡県,掛川市,0,1,,0,0,,,,,,,,
